[184, 279][175, 288]
[178, 290][190, 278]
[194, 279][180, 293]
[183, 295][200, 278]
[205, 278][185, 298]
[188, 300][211, 277]
[214, 277][189, 302]
[192, 304][219, 277]
[225, 276][195, 306]
[252, 249][260, 241]
[237, 269][198, 308]
[252, 254][271, 235]
[277, 234][200, 311]
[204, 312][296, 220]
[301, 220][207, 314]
[211, 315][301, 225]
[301, 230][215, 316]
[219, 317][301, 235]
[301, 240][224, 317]
[229, 317][292, 254]
[285, 266][234, 317]
[238, 318][280, 276]
[272, 289][243, 318]
[249, 317][272, 294]
[269, 302][255, 316]
