[353, 118]
[356, 122]
[358, 125]
[359, 133]
[359, 138]
[358, 143]
[357, 145]
[355, 147]
[354, 149]
[354, 151]
[351, 156]
[351, 158]
[349, 161]
[348, 164]
[348, 167]
[347, 170]
[344, 173]
[344, 175]
[342, 179]
[338, 183]
[338, 185]
[333, 190]
[330, 192]
[328, 193]
[324, 194]
[318, 193]
[313, 194]
[312, 197]
[310, 199]
[309, 202]
[309, 205]
[307, 208]
[306, 213]
[305, 218]
[304, 224]
[303, 229]
[302, 247]
[302, 260]
[303, 277]
[304, 281]
[305, 284]
[306, 287]
[308, 290]
[309, 293]
[311, 293]
