[142, 111][148, 105]
[154, 104][145, 113]
[150, 113][159, 104]
[163, 105][156, 112]
[139, 134][149, 124]
[167, 106][161, 112]
[141, 135][152, 124]
[156, 120][154, 122]
[163, 113][169, 107]
[161, 120][155, 126]
[165, 116][172, 109]
[176, 110][156, 130]
[158, 133][179, 112]
[171, 125][160, 136]
[175, 121][181, 115]
[171, 130][165, 136]
